year,primary,grade1
1970,68.95870972,26.27695084
1971,,
1972,,
1973,70.02552032,26.54336929
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,52.12960815,14.73950005
1987,51.42533875,14.69095993
1988,,
1989,,
1990,,
1991,,
1992,,
1993,,
1994,45.86014938,18.18412018
1995,,
1996,,
1997,,
1998,39.59838867,20.42432976
1999,41.28628159,22.14184952
2000,36.46302032,19.27709961
2001,,
2002,,
2003,,
2004,,
2005,,
2006,,
2007,,
2008,,
2009,,6.81633997
2010,,
2011,,
2012,,
2013,,
