year,enrate
1970,27.51634026
1971,
1972,28.84086037
1973,
1974,
1975,29.02374077
1976,29.93639946
1977,28.90199089
1978,
1979,30.27512932
1980,31.42016983
1981,32.0232811
1982,34.04272079
1983,34.49954987
1984,
1985,36.64152145
1986,36.30942154
1987,36.97008133
1988,37.88607025
1989,
1990,
1991,
1992,
1993,
1994,44.02994156
1995,44.24967957
1996,44.69245911
1997,
1998,
1999,45.65483093
2000,45.9119606
2001,47.4591713
2002,53.37456131
2003,
2004,
2005,
2006,59.97127151
2007,
2008,62.81380081
2009,64.65997314
2010,67.5552597
